q,beta,hm0,h,tm-10_toe,bt,ht,gama_f,cotad,cotau,hb,rc,b,tanb,ac,gc
0,45,0.078947368,0.166081871,0.932707593,0.160818713,0.095906433,0.46,1.5,1.5,0,0.178947368,0,0,0.199415205,0.365497076
0,45,0.078947368,0.166081871,0.932707593,0.160818713,0.095906433,0.46,1.5,1.5,0,0.178947368,0,0,0.199415205,0.365497076
0,0,0.058479532,0.188011696,1.081940808,0.160818713,0.117836257,0.46,1.5,1.5,0,0.157017544,0,0,0.17748538,0.365497076
0,0,0.084795322,0.188011696,1.063286656,0.160818713,0.117836257,0.46,1.5,1.5,0,0.157017544,0,0,0.17748538,0.365497076
0,0,0.084795322,0.188011696,1.10059496,0.160818713,0.117836257,0.46,1.5,1.5,0,0.157017544,0,0,0.17748538,0.365497076
0,45,0.084795322,0.188011696,1.0073242,0.160818713,0.117836257,0.46,1.5,1.5,0,0.157017544,0,0,0.17748538,0.365497076
0,45,0.084795322,0.188011696,1.0073242,0.160818713,0.117836257,0.46,1.5,1.5,0,0.157017544,0,0,0.17748538,0.365497076
0,0,0.099415205,0.196783626,1.156557415,0.160818713,0.126608187,0.46,1.5,1.5,0,0.148245614,0,0,0.16871345,0.365497076
4.45E-08,0,0.114035088,0.196783626,1.175211567,0.160818713,0.126608187,0.46,1.5,1.5,0,0.148245614,0,0,0.16871345,0.365497076
0.00000055,0,0.111111111,0.196783626,1.193865719,0.160818713,0.126608187,0.46,1.5,1.5,0,0.148245614,0,0,0.16871345,0.365497076
0,45,0.096491228,0.196783626,1.081940808,0.160818713,0.126608187,0.46,1.5,1.5,0,0.148245614,0,0,0.16871345,0.365497076
0.000000055,0,0.099415205,0.204385965,1.156557415,0.160818713,0.134210526,0.46,1.5,1.5,0,0.140643275,0,0,0.161111111,0.365497076
0.000000115,0,0.122807018,0.204385965,1.193865719,0.160818713,0.134210526,0.46,1.5,1.5,0,0.140643275,0,0,0.161111111,0.365497076
0.0000023,0,0.102339181,0.204385965,1.156557415,0.160818713,0.134210526,0.46,1.5,1.5,0,0.140643275,0,0,0.161111111,0.365497076
0.000000044,45,0.102339181,0.204385965,1.119249111,0.160818713,0.134210526,0.46,1.5,1.5,0,0.140643275,0,0,0.161111111,0.365497076
0,45,0.102339181,0.204385965,1.119249111,0.160818713,0.134210526,0.46,1.5,1.5,0,0.140643275,0,0,0.161111111,0.365497076
0,0,0.073099415,0.166081871,0.988670048,0.160818713,0.095906433,0.46,1.5,1.5,0,0.178947368,0,0,0.199415205,0.365497076
0,0,0.073099415,0.166081871,1.044632504,0.160818713,0.095906433,0.46,1.5,1.5,0,0.178947368,0,0,0.199415205,0.365497076
0,0,0.087719298,0.166081871,0.988670048,0.160818713,0.095906433,0.46,1.5,1.5,0,0.178947368,0,0,0.199415205,0.365497076
0,45,0.087719298,0.166081871,0.970015897,0.160818713,0.095906433,0.46,1.5,1.5,0,0.178947368,0,0,0.199415205,0.365497076
0,45,0.087719298,0.166081871,0.970015897,0.160818713,0.095906433,0.46,1.5,1.5,0,0.178947368,0,0,0.199415205,0.365497076
0,0,0.076023392,0.188011696,1.044632504,0.160818713,0.117836257,0.46,1.5,1.5,0,0.157017544,0,0,0.17748538,0.365497076
0,0,0.073099415,0.188011696,1.063286656,0.160818713,0.117836257,0.46,1.5,1.5,0,0.157017544,0,0,0.17748538,0.365497076
0,0,0.090643275,0.188011696,1.025978352,0.160818713,0.117836257,0.46,1.5,1.5,0,0.157017544,0,0,0.17748538,0.365497076
0,45,0.090643275,0.188011696,1.0073242,0.160818713,0.117836257,0.46,1.5,1.5,0,0.157017544,0,0,0.17748538,0.365497076
0,45,0.090643275,0.188011696,1.0073242,0.160818713,0.117836257,0.46,1.5,1.5,0,0.157017544,0,0,0.17748538,0.365497076
0,0,0.108187135,0.196783626,1.119249111,0.160818713,0.126608187,0.46,1.5,1.5,0,0.148245614,0,0,0.16871345,0.365497076
0,0,0.105263158,0.196783626,1.193865719,0.160818713,0.126608187,0.46,1.5,1.5,0,0.148245614,0,0,0.16871345,0.365497076
0.0000007,0,0.108187135,0.196783626,1.119249111,0.160818713,0.126608187,0.46,1.5,1.5,0,0.148245614,0,0,0.16871345,0.365497076
0.00000025,45,0.093567251,0.196783626,1.137903263,0.160818713,0.126608187,0.46,1.5,1.5,0,0.148245614,0,0,0.16871345,0.365497076
0,45,0.093567251,0.196783626,1.137903263,0.160818713,0.126608187,0.46,1.5,1.5,0,0.148245614,0,0,0.16871345,0.365497076
0,0,0.108187135,0.204385965,1.231174023,0.160818713,0.134210526,0.46,1.5,1.5,0,0.140643275,0,0,0.161111111,0.365497076
0.0000031,0,0.111111111,0.204385965,1.137903263,0.160818713,0.134210526,0.46,1.5,1.5,0,0.140643275,0,0,0.161111111,0.365497076
0.00000165,45,0.105263158,0.204385965,1.175211567,0.160818713,0.134210526,0.46,1.5,1.5,0,0.140643275,0,0,0.161111111,0.365497076
0,45,0.105263158,0.204385965,1.175211567,0.160818713,0.134210526,0.46,1.5,1.5,0,0.140643275,0,0,0.161111111,0.365497076
0,0,0.08,0.131666667,1.354368506,0,0.111666667,0.4,2.5,2.5,0,0.155,0,0,0.155,0.133333333
0.00000274,0,0.086666667,0.168,1.394202874,0,0.148,0.4,2.5,2.5,0,0.118666667,0,0,0.118666667,0.133333333
0.00107,0,0.123333333,0.216666667,1.812463736,0,0.196666667,0.4,2.5,2.5,0,0.07,0,0,0.07,0.133333333
0.00185,0,0.14,0.216666667,2.031552759,0,0.196666667,0.4,2.5,2.5,0,0.07,0,0,0.07,0.133333333
0.00125,0,0.126666667,0.13,1.812463736,0.033333333,0.096666667,0.4,2.5,2.5,0,0.047333333,0,0,0.056,0.133333333
0,0,0.08,0.131666667,1.354368506,0,0.111666667,0.4,2.5,2.5,0,0.155,0,0,0.155,0.11
0.00000196,0,0.086666667,0.168,1.394202874,0,0.148,0.4,2.5,2.5,0,0.118666667,0,0,0.118666667,0.11
0.000669,0,0.123333333,0.216666667,1.812463736,0,0.196666667,0.4,2.5,2.5,0,0.07,0,0,0.07,0.11
0.00116,0,0.14,0.216666667,2.031552759,0,0.196666667,0.4,2.5,2.5,0,0.07,0,0,0.07,0.11
0.00192,0,0.128,0.2244,2.007272727,0,0.2244,0.695625,1.909090909,0,0.0196,0.1076,0.08,0,0.1076,0
0.000928,0,0.128,0.2244,2.007272727,0,0.2244,0.601875,1.909090909,0,0.0196,0.1276,0.08,0,0.1276,0
0.000328,0,0.128,0.2244,2.007272727,0,0.2244,0.6,1.909090909,0,0.0196,0.1476,0.08,0,0.1476,0
0.000592,0,0.128,0.2244,2.007272727,0,0.2244,0.6,1.909090909,0,0.0196,0.1396,0.08,0,0.1396,0
0.0008,0,0.128,0.2244,2.007272727,0,0.2244,0.7,1.909090909,0,0.0196,0.1396,0,0,0.1396,0
0.00056,0,0.128,0.2244,2.007272727,0,0.2244,0.6,1.909090909,0,0.0196,0.1396,0.08,0,0.1396,0
0.0006,0,0.128,0.2244,2.007272727,0,0.2244,0.6,1.909090909,0,0.0196,0.1396,0.08,0,0.1396,0
0.000608,0,0.128,0.2244,2.007272727,0,0.2244,0.6,1.909090909,0,0.0196,0.1396,0.08,0,0.1396,0
0,0,0.06,0.1,1.505454545,0,0.1,0.65,1.776315789,0.666666667,-0.06,0.264,0.11,0,0.144,0.08
0,0,0.06,0.1,1.505454545,0,0.1,0.65,1.666666667,1.4,-0.04,0.264,0.11,0,0.144,0.08
0,0,0.06,0.1,1.505454545,0,0.1,0.65,1.517857143,1.714285714,-0.02,0.264,0.11,0,0.144,0.08
0,0,0.06,0.1,1.505454545,0,0.1,0.65,1.304347826,1.888888889,0,0.264,0.11,0,0.144,0.08
0,0,0.06,0.1,1.505454545,0,0.1,0.65,0.972222222,2,0.02,0.264,0.11,0,0.144,0.08
0,0,0.06,0.1,1.505454545,0,0.1,0.6,2.222222222,2.222222222,0,0.264,0,0,0.144,0.08
0,0,0.06,0.1,1.505454545,0,0.1,0.65,1.517857143,1.714285714,-0.02,0.264,0.11,0,0.144,0.08
0.000059,45,0.091,0.176666667,1.613636364,0,0.176666667,1,0.1,0.1,0,0.083666667,0,0,0.083666667,0
0.0000183,45,0.091,0.176666667,1.613636364,0,0.176666667,0.7,0.1,0.1,0,0.100333333,0,0,0.100333333,0
0.00000913,45,0.091,0.176666667,1.613636364,0,0.176666667,0.7,0.1,0.1,0,0.110333333,0,0,0.110333333,0
0.0000189,45,0.091,0.176666667,1.613636364,0,0.176666667,0.7,0.1,0.1,0,0.100333333,0,0,0.100333333,0
0.0000128,45,0.091,0.176666667,1.613636364,0,0.176666667,0.7,0.1,0.1,0,0.110333333,0,0,0.110333333,0
0.000353,45,0.087,0.21,1.613636364,0,0.21,1,0.1,0.1,0,0.050333333,0,0,0.050333333,0
0.000116,45,0.087,0.21,1.613636364,0,0.21,0.837931034,0.1,0.1,0,0.067,0,0,0.067,0
0.000073,45,0.087,0.21,1.613636364,0,0.21,0.768965517,0.1,0.1,0,0.077,0,0,0.077,0
0.000146,45,0.087,0.21,1.613636364,0,0.21,0.837931034,0.1,0.1,0,0.067,0,0,0.067,0
0.0000913,45,0.087,0.21,1.613636364,0,0.21,0.768965517,0.1,0.1,0,0.077,0,0,0.077,0
0.00307,45,0.101,0.243333333,1.791818182,0,0.243333333,1,0.1,0.1,0,0.017,0,0,0.017,0
0.00153,45,0.101,0.243333333,1.791818182,0,0.243333333,1,0.1,0.1,0,0.033666667,0,0,0.033666667,0
0.00106,45,0.101,0.243333333,1.791818182,0,0.243333333,1,0.1,0.1,0,0.043666667,0,0,0.043666667,0
0.00185,45,0.101,0.243333333,1.791818182,0,0.243333333,1,0.1,0.1,0,0.033666667,0,0,0.033666667,0
0.00117,45,0.101,0.243333333,1.791818182,0,0.243333333,1,0.1,0.1,0,0.043666667,0,0,0.043666667,0
0.00297,45,0.083,0.123333333,1.604545455,0,0.123333333,1,0.1,0.1,0,0.021666667,0,0,0.021666667,0
0.00225,45,0.083,0.123333333,1.604545455,0,0.123333333,1,0.1,0.1,0,0.038333333,0,0,0.038333333,0
0.00167,45,0.083,0.123333333,1.604545455,0,0.123333333,0.95060241,0.1,0.1,0,0.048333333,0,0,0.048333333,0
0.00223,45,0.083,0.123333333,1.604545455,0,0.123333333,1,0.1,0.1,0,0.038333333,0,0,0.038333333,0
0.00181,45,0.083,0.123333333,1.604545455,0,0.123333333,0.95060241,0.1,0.1,0,0.048333333,0,0,0.048333333,0
0.00197,0,0.069,0.123333333,1.573457529,0,0.123333333,1,0.1,0.1,0,0.021666667,0,0,0.021666667,0
0.00158,0,0.069,0.123333333,1.573457529,0,0.123333333,0.966666667,0.1,0.1,0,0.038333333,0,0,0.038333333,0
0.00125,0,0.068,0.123333333,1.573457529,0,0.123333333,0.873529412,0.1,0.1,0,0.048333333,0,0,0.048333333,0
0.000000313,0,0.0585,0.1065,0.912103618,0,0.1065,0.4,3,3,0,0.1185,0,0,0.0935,0.09145
0.000000291,0,0.0505,0.1365,0.869680194,0,0.1365,0.4,3,3,0,0.0885,0,0,0.0635,0.09145
0.00000201,0,0.0755,0.1415,1.103009026,0,0.1415,0.4,3,3,0,0.1085,0,0,0.0835,0.09145
0.0000019,0,0.059,0.1215,0.912103618,0,0.1215,0.4,3,3,0,0.0935,0,0,0.0685,0.09135
0.0000458,0,0.075,0.1315,1.103009026,0,0.1315,0.4,3,3,0,0.0835,0,0,0.0585,0.09135
0.0000928,0,0.088,0.1315,1.124220738,0,0.1315,0.4,3,3,0,0.0835,0,0,0.0585,0.09135
0.00000503,0,0.0645,0.3165,0.912103618,0.1536,0.2365,0.4,1.5,1.5,0,0.1185,0,0,0.0935,0.1152
0.00000291,0,0.0545,0.3465,0.848468482,0.1536,0.2665,0.4,1.5,1.5,0,0.0885,0,0,0.0635,0.1152
0.0000458,0,0.0835,0.3265,1.03937389,0.1536,0.2465,0.4,1.5,1.5,0,0.1085,0,0,0.0835,0.1152
0.00000145,0,0.0645,0.3315,0.912103618,0.155,0.1565,0.4,1.5,1.5,0,0.1185,0,0,0.0935,0.115
0.000000783,0,0.0545,0.3615,0.848468482,0.155,0.1865,0.4,1.5,1.5,0,0.0885,0,0,0.0635,0.115
0.0000202,0,0.0835,0.3415,1.03937389,0.155,0.1665,0.4,1.5,1.5,0,0.1085,0,0,0.0835,0.115
0.00000872,0,0.0835,0.3415,1.03937389,0.155,0.1665,0.4,1.5,1.5,0,0.1085,0,0,0.0835,0.34
0,0,0.058,0.2565,0.869680194,0.155,0.0815,0.4,1.5,1.5,0,0.1935,0,0,0.1685,0.34
0.000325,0,0.086,0.12,1.531818182,0,0.064,1,2.647058824,0.111111111,0,0.136,0.072,0,0.136,0
0.000531,0,0.093,0.12,2.122727273,0,0.064,1,2.647058824,0.111111111,0,0.136,0.072,0,0.136,0
0.00224,0,0.106,0.162,1.531818182,0,0.106,1,2.647058824,0.111111111,0.042,0.094,0.072,0,0.094,0
0.0025,0,0.116,0.162,2.122727273,0,0.106,1,2.647058824,0.111111111,0.042,0.094,0.072,0,0.094,0
0.00137,0,0.116,0.162,2.122727273,0,0.106,1,2.647058824,0.111111111,0.042,0.094,0.072,0,0.094,0
0.000144,0,0.093,0.12,2.122727273,0,0.064,1,2.647058824,0.111111111,0,0.136,0.072,0,0.136,0
0.0000441,0,0.089,0.148,1.531818182,0,0.108,0.4,1.5,1.5,0,0.136,0,0,0.072,0.216
0.00018,0,0.096,0.148,2.122727273,0,0.108,0.4,1.5,1.5,0,0.136,0,0,0.072,0.216
0.00000424,0,0.076,0.112,2.122727273,0,0.072,0.4,1.5,1.5,0,0.172,0,0,0.108,0.216
0.00127,0,0.109,0.19,1.531818182,0,0.15,0.4,1.5,1.5,0,0.094,0,0,0.03,0.216
0.00181,0,0.119,0.19,2.122727273,0,0.15,0.4,1.5,1.5,0,0.094,0,0,0.03,0.216
0.000848,0,0.119,0.19,2.122727273,0,0.15,0.4,1.5,1.5,0,0.106,0,0,0.03,0.416
0.000476,0,0.109,0.19,1.531818182,0,0.15,0.4,1.5,1.5,0,0.106,0,0,0.03,0.416
0.000389,0,0.109,0.19,1.531818182,0,0.15,0.4,1.5,1.5,0,0.106,0,0,0.03,0.616
0.00072,0,0.119,0.19,2.122727273,0,0.15,0.4,1.5,1.5,0,0.106,0,0,0.03,0.616
0.0000502,0,0.096,0.148,2.122727273,0,0.108,0.4,1.5,1.5,0,0.148,0,0,0.072,0.616
0.000047,0,0.096,0.148,2.122727273,0,0.108,0.4,1.5,1.5,0,0.148,0,0,0.072,0.416
0.0000112,0,0.096,0.148,2.122727273,0,0.108,0.4,1.5,1.5,0,0.148,0,0,0.072,0.416
0.0000504,0,0.096,0.148,2.122727273,0,0.108,0.4,1.5,1.5,0,0.136,0,0,0.072,0.216
0.000884,0,0.119,0.19,2.122727273,0,0.15,0.4,1.5,1.5,0,0.094,0,0,0.03,0.216
0.000457,0,0.119,0.19,2.122727273,0,0.15,0.4,1.5,1.5,0,0.106,0,0,0.03,0.416
0.0000242,0,0.089,0.148,1.531818182,0,0.108,0.4,2,2,0,0.136,0,0,0.092,0.18
0.000113,0,0.096,0.148,2.122727273,0,0.108,0.4,2,2,0,0.136,0,0,0.092,0.18
0.000841,0,0.109,0.19,1.531818182,0,0.15,0.4,2,2,0,0.094,0,0,0.05,0.18
0.00111,0,0.119,0.19,2.122727273,0,0.15,0.4,2,2,0,0.094,0,0,0.05,0.18
0.000992,0,0.103,0.122,2.122727273,0,0.106,1,2.647058824,0.111111111,0.042,0.094,0.072,0,0.094,0
0.00188,0,0.103,0.122,2.122727273,0,0.106,1,2.647058824,0.111111111,0.042,0.094,0.072,0,0.094,0
0.000113,0,0.081,0.108,2.122727273,0,0.108,0.4,1.5,1.5,0,0.136,0,0,0.072,0.18
0.0000284,0,0.081,0.108,2.122727273,0,0.108,0.4,1.5,1.5,0,0.148,0,0,0.072,0.38
0.000014,0,0.081,0.108,2.122727273,0,0.108,0.4,1.5,1.5,0,0.148,0,0,0.072,0.38
0.0000502,0,0.081,0.108,2.122727273,0,0.108,0.4,1.5,1.5,0,0.136,0,0,0.072,0.18
0.000906,0,0.106,0.15,2.122727273,0,0.15,0.4,1.5,1.5,0,0.094,0,0,0.03,0.18
0.000469,0,0.106,0.15,2.122727273,0,0.15,0.4,1.5,1.5,0,0.106,0,0,0.03,0.38
0.000653,0,0.106,0.15,2.122727273,0,0.15,0.4,1.5,1.5,0,0.106,0,0,0.03,0.38
0.00142,0,0.106,0.15,2.122727273,0,0.15,0.4,1.5,1.5,0,0.094,0,0,0.03,0.18
0.00114,0,0.104,0.114,2.122727273,0,0.114,1,1.5,0.1,0.01,0.058,0.12,0,0.0344,0.2
0.000974,0,0.094,0.114,1.531818182,0,0.114,1,1.5,0.1,0.01,0.058,0.12,0,0.0344,0.2
0.000199,0,0.094,0.114,1.531818182,0,0.114,1,1.5,0.1,0.01,0.1388,0.12,0,0.0344,0.4
0.00105,0,0.102,0.134,1.531818182,0.1,0.086,1,0.1,0.1,0,0.058,0,0,0.0344,0.2
0.00148,0,0.112,0.134,2.122727273,0.1,0.086,1,0.1,0.1,0,0.058,0,0,0.0344,0.2
0.0000746,0,0.08,0.108,1.531818182,0.04,0.068,0.84,1.5,0.1,-0.032,0.1,0.12,0,0.0764,0.2
0.00000568,0,0.08,0.108,1.531818182,0.04,0.068,0.84,1.5,0.1,-0.032,0.1808,0.12,0,0.0764,0.4
0.0000259,0,0.087,0.108,2.122727273,0.04,0.068,0.852873563,1.5,0.1,-0.032,0.1808,0.12,0,0.0764,0.4
0.000157,0,0.087,0.108,2.122727273,0.04,0.068,0.852873563,1.5,0.1,-0.032,0.1,0.12,0,0.0764,0.2
0.00111,0,0.101,0.15,1.531818182,0.04,0.11,1,1.5,0.1,0.01,0.058,0.12,0,0.0344,0.2
0.000301,0,0.101,0.15,1.531818182,0.04,0.11,1,1.5,0.1,0.01,0.1388,0.12,0,0.0344,0.4
0.000469,0,0.109,0.15,2.122727273,0.04,0.11,1,1.5,0.1,0.01,0.1388,0.12,0,0.0344,0.4
0.00131,0,0.109,0.15,2.122727273,0.04,0.11,1,1.5,0.1,0.01,0.058,0.12,0,0.0344,0.2
0.00014,0,0.086,0.11,1.531818182,0,0.07,0.4,2,2,0.07,0.13,0,0,0.13,0.12
0.000278,0,0.095,0.11,2.122727273,0,0.07,0.4,2,2,0.07,0.13,0,0,0.13,0.12
0.0000217,0,0.086,0.11,1.531818182,0,0.07,0.4,2,2,0.07,0.13,0,0,0.13,0.12
0.0000646,0,0.095,0.11,2.122727273,0,0.07,0.4,2,2,0.07,0.13,0,0,0.13,0.12
0.00286,0,0.1508,0.726666667,2.099603137,0,0.726666667,0.4,1.7,1.5,0.126666667,0.073333333,1.333333333,0.1,0.056666667,0.3
0.00609,0,0.2748,0.736666667,2.292135915,0,0.736666667,0.4,1.7,1.5,0.136666667,0.063333333,1.333333333,0.1,0.046666667,0.3
0.0000414,0,0.132933333,0.726666667,1.527979959,0,0.726666667,0.4,1.7,1.5,0.126666667,0.14,1.333333333,0.1,0.123333333,0.3
0.00106,0,0.205766667,0.726666667,1.867235991,0,0.726666667,0.4,1.7,1.5,0.126666667,0.14,1.333333333,0.1,0.123333333,0.3
0.00609,0,0.2748,0.736666667,2.292135915,0,0.736666667,0.4,1.7,1.5,0.136666667,0.13,1.333333333,0.1,0.113333333,0.3
0,0,0.12,0.37,1.633209081,0,0.136666667,0.4,3,4,0.003333333,0.196666667,0,0,0.196666667,0.383333333
0,0,0.116666667,0.37,2.370144885,0,0.136666667,0.4,3,4,0.003333333,0.196666667,0,0,0.196666667,0.383333333
0,0,0.14,0.42,1.673043448,0,0.186666667,0.4,3,4,0.053333333,0.146666667,0,0,0.146666667,0.383333333
0,0,0.11,0.42,2.409979253,0,0.186666667,0.4,3,4,0.053333333,0.146666667,0,0,0.146666667,0.383333333
0.0000146,0,0.146666667,0.47,1.712877816,0,0.236666667,0.4,3,4,0.103333333,0.096666667,0,0,0.096666667,0.383333333
0.00000122,0,0.103333333,0.47,2.390062069,0,0.236666667,0.4,3,4,0.103333333,0.096666667,0,0,0.096666667,0.383333333
0.000207,0,0.136666667,0.52,1.653126264,0,0.286666667,0.4,3,4,0.153333333,0.046666667,0,0,0.046666667,0.383333333
0.00014,0,0.1,0.52,2.469730805,0,0.286666667,0.4,4,4,0,0.046666667,0,0,0.046666667,0.383333333
0,0,0.146666667,0.47,1.712877816,0,0.236666667,0.4,3.3,2,-0.096666667,0.163333333,0.383333333,0,0.163333333,0.1
0,0,0.103333333,0.47,2.390062069,0,0.236666667,0.4,3.3,2,-0.096666667,0.163333333,0.383333333,0,0.163333333,0.1
0.0000365,0,0.136666667,0.52,1.653126264,0,0.286666667,0.4,3.3,2,-0.046666667,0.113333333,0.383333333,0,0.113333333,0.1
